Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp,Equipment
Dumbbell Bicep Curl,https://www.bodybuilding.com/exercises/dumbbell-bicep-curl,,,Biceps,Dumbbell
Dumbbell Goblet Squat,https://www.bodybuilding.com/exercises/dumbbell-goblet-squat,,,Quadriceps,Dumbbell
Dumbbell squat,https://www.bodybuilding.com/exercises/dumbbell-squat,,,Quadriceps,Dumbbell
Barbell front squat,https://www.bodybuilding.com/exercises/front-barbell-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m2-square-600x600.jpg,Quadriceps,Barbell
Close-grip pull-down,https://www.bodybuilding.com/exercises/v-bar-pulldown,,,Lats,Cable
Triceps Pushdown - Rope Attachment,https://www.bodybuilding.com/exercises/triceps-pushdown-rope-attachment,,,Triceps,Cables
Side-to-side box skip,https://www.bodybuilding.com/exercises/side-to-side-box-shuffle,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m3-square-600x600.jpg,Quadriceps,Body Only
Smith machine shoulder press,https://www.bodybuilding.com/exercises/smith-machine-overhead-shoulder-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-alt-31t-smith-machine-shoulder-press-m1-square-600x600.jpg,,Shoulders,Machine
Seated triceps press,https://www.bodybuilding.com/exercises/seated-triceps-press,,,Triceps,Dumbbell
Dumbbell Lying Supination,https://www.bodybuilding.com/exercises/dumbbell-lying-supination,,,Forearms,
Pull-up,https://www.bodybuilding.com/exercises/wide-grip-pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m2-square-600x600.jpg,Lats,Body Only
Wide-grip bench press,https://www.bodybuilding.com/exercises/wide-grip-barbell-bench-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m2-square-600x600.jpg,Chest,Barbell
Close-grip EZ-bar curl,https://www.bodybuilding.com/exercises/close-grip-ez-bar-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m2-square-600x600.jpg,Biceps,Barbell
T-Bar Row,https://www.bodybuilding.com/exercises/t-bar-row,https://www.bodybuilding.com/images/2020/xdb/3381_1.jpg,https://www.bodybuilding.com/images/2020/xdb/3381_2.jpg,Middle Back,Other
Bent Over Two-Arm Long Bar Row,https://www.bodybuilding.com/exercises/bent-over-two-arm-long-bar-row,https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_2.jpg,Middle Back,Barbell
Muscle Up,https://www.bodybuilding.com/exercises/muscle-up,,,Lats,Body Only
Machine shoulder press,https://www.bodybuilding.com/exercises/leverage-shoulder-press,,,Shoulders,Machine
Incline EZ-bar skullcrusher,https://www.bodybuilding.com/exercises/incline-barbell-triceps-extension,,,Triceps,Barbell
Alternating sit-through with crunch,https://www.bodybuilding.com/exercises/bent-over-one-arm-long-bar-row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg,Middle Back,Other
Wide-Grip Decline Barbell Bench Press,https://www.bodybuilding.com/exercises/wide-grip-decline-barbell-bench-press,,,Chest,Barbell
Rower,https://www.bodybuilding.com/exercises/rowing-stationary,,,Middle Back,Machine
Snatch Deadlift,https://www.bodybuilding.com/exercises/snatch-deadlift,,,Hamstrings,Barbell
Front Plate Raise,https://www.bodybuilding.com/exercises/front-plate-raise,,,Shoulders,Other
Decline Close-Grip Bench To Skull Crusher,https://www.bodybuilding.com/exercises/decline-close-grip-bench-to-skull-crusher,https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_2.jpg,Triceps,Barbell
Lying Leg Curls,https://www.bodybuilding.com/exercises/lying-leg-curls,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m2-square-600x600.jpg,Hamstrings,Machine
Cross-body hammer curl,https://www.bodybuilding.com/exercises/cross-body-hammer-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m2-square-600x600.jpg,Biceps,Dumbbell
Shotgun row,https://www.bodybuilding.com/exercises/shotgun-row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m2-square-600x600.jpg,Lats,Cable
Ab Roller,https://www.bodybuilding.com/exercises/ab-roller,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m2-square-600x600.jpg,Abdominals,Other
Reverse-grip incline dumbbell bench press,https://www.bodybuilding.com/exercises/incline-dumbbell-press-reverse-grip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m2-square-600x600.jpg,Chest,Dumbbell
Leg Press,https://www.bodybuilding.com/exercises/leg-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m2-square-600x600.jpg,Quadriceps,Machine
Stiff-Legged Dumbbell Deadlift,https://www.bodybuilding.com/exercises/stiff-legged-dumbbell-deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m2-square-600x600.jpg,Hamstrings,Dumbbell
Cable Crossover,https://www.bodybuilding.com/exercises/cable-crossover,,,Chest,Cable
Barbell Incline Bench Press Medium-Grip,https://www.bodybuilding.com/exercises/barbell-incline-bench-press-medium-grip,,,Chest,Barbell
Incline Dumbbell Flyes,https://www.bodybuilding.com/exercises/incline-dumbbell-flyes,,,Chest,Dumbbell
Seated Cable Rows,https://www.bodybuilding.com/exercises/seated-cable-rows,,,Middle Back,Cable
Tricep Dumbbell Kickback,https://www.bodybuilding.com/exercises/tricep-dumbbell-kickback,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76d-single-arm-triceps-kick-back-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76d-single-arm-triceps-kick-back-m3-square-600x600.jpg,Triceps,Dumbbell
Otis-Up,https://www.bodybuilding.com/exercises/otis-up,,,Abdominals,Other
Mountain climber,https://www.bodybuilding.com/exercises/mountain-climbers,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-201a-mountain-climber-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-201a-mountain-climber-m3-square-600x600.jpg,Abdominals,Body Only
Ab bicycle,https://www.bodybuilding.com/exercises/air-bike,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m3-square-600x600.jpg,Abdominals,Body Only
Barbell forward lunge,https://www.bodybuilding.com/exercises/barbell-lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m2-square-600x600.jpg,Quadriceps,Barbell
3/4 sit-up,https://www.bodybuilding.com/exercises/34-sit-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m3-square-600x600.jpg,Abdominals,Body Only
Exercise ball leg curl,https://www.bodybuilding.com/exercises/ball-leg-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-21s-exercise-ball-leg-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-21s-exercise-ball-leg-curl-m2-square-600x600.jpg,Hamstrings,Exercise Ball
Glute bridge,https://www.bodybuilding.com/exercises/butt-lift-bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59a-glute-bridge-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59a-glute-bridge-m2-square-600x600.jpg,Glutes,Body Only
Close-Grip Front Lat Pulldown,https://www.bodybuilding.com/exercises/close-grip-front-lat-pulldown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m2-square-600x600.jpg,Lats,Cable
Dip Machine,https://www.bodybuilding.com/exercises/dip-machine,https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_2.jpg,Triceps,Cable
Incline dumbbell row,https://www.bodybuilding.com/exercises/dumbbell-incline-row,,,Middle Back,Dumbbell
Dumbbell Lunges,https://www.bodybuilding.com/exercises/dumbbell-lunges,,,Quadriceps,Dumbbell
Single-arm standing shoulder press,https://www.bodybuilding.com/exercises/dumbbell-one-arm-shoulder-press,,,Shoulders,Dumbbell
Preacher Curl,https://www.bodybuilding.com/exercises/preacher-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m2-square-600x600.jpg,Biceps,Barbell
Reverse crunch,https://www.bodybuilding.com/exercises/reverse-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m2-600x600.jpg,Abdominals,Body Only
Standing Dumbbell Triceps Extension,https://www.bodybuilding.com/exercises/standing-dumbbell-triceps-extension,https://www.bodybuilding.com/images/2020/june/345_1.jpg,https://www.bodybuilding.com/images/2020/june/345_2.jpg,Triceps,Dumbbell
Elliptical trainer,https://www.bodybuilding.com/exercises/elliptical-trainer,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m2-square-600x600.jpg,Quadriceps,Machine
Bodyweight squat,https://www.bodybuilding.com/exercises/bodyweight-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m2-square-600x600.jpg,Quadriceps,Body Only
Bent Over Two-Dumbbell Row With Palms In,https://www.bodybuilding.com/exercises/bent-over-two-dumbbell-row-with-palms-in,https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_2.jpg,Middle Back,Dumbbell
Hex-bar deadlift,https://www.bodybuilding.com/exercises/trap-bar-deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m2-square-600x600.jpg,Quadriceps,Other
Narrow-stance leg press,https://www.bodybuilding.com/exercises/narrow-stance-leg-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m2-square-600x600.jpg,Quadriceps,Machine
Single-leg glute bridge,https://www.bodybuilding.com/exercises/single-leg-glute-bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m3-square-600x600.jpg,Glutes,Body Only
Barbell Curls Lying Against An Incline,https://www.bodybuilding.com/exercises/barbell-curls-lying-against-an-incline,https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_2.jpg,Biceps,Barbell
Standing Hip Circles,https://www.bodybuilding.com/exercises/standing-hip-circles,https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_2.jpg,Abductors,Body Only
Clam,https://www.bodybuilding.com/exercises/clam,https://www.bodybuilding.com/images/2020/april/2843_1.jpg,https://www.bodybuilding.com/images/2020/april/2843_2.jpg,Abductors,
Narrow Stance Hack Squats,https://www.bodybuilding.com/exercises/narrow-stance-hack-squats,,,Quadriceps,Machine
Seated Close-Grip Concentration Barbell Curl,https://www.bodybuilding.com/exercises/seated-close-grip-concentration-barbell-curl,,,Biceps,Barbell
Dumbbell Lying Pronation,https://www.bodybuilding.com/exercises/dumbbell-lying-pronation,,,Forearms,
Smith machine box squat,https://www.bodybuilding.com/exercises/chair-squat,,,Quadriceps,Barbell
Drop Push,https://www.bodybuilding.com/exercises/drop-push,,,Chest,Other
Upside-down pull-up,https://www.bodybuilding.com/exercises/bodyweight-mid-row,,,Middle Back,Other
Reverse Barbell Preacher Curls,https://www.bodybuilding.com/exercises/reverse-barbell-preacher-curls,,,Biceps,E-Z Curl Bar
Close-grip EZ-bar bench press,https://www.bodybuilding.com/exercises/close-grip-ez-bar-press,,,Chest,E-Z Curl Bar
Incline Push-Up,https://www.bodybuilding.com/exercises/incline-push-up,,,Chest,Body Only
Hyperextensions With No Hyperextension Bench,https://www.bodybuilding.com/exercises/hyperextensions-with-no-hyperextension-bench,,,Lower Back,Body Only
Dumbbell front raise,https://www.bodybuilding.com/exercises/front-two-dumbbell-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m2-square-600x600.jpg,,Shoulders,Dumbbell
Parallel Bar Dip,https://www.bodybuilding.com/exercises/parallel-bar-dip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m2-square-600x600.jpg,Triceps,Body Only
Stairmaster,https://www.bodybuilding.com/exercises/stairmaster,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m2-square-600x600.jpg,Quadriceps,Machine
